timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2020-08-11 13:32:15.56.0	516641528	Wait finished
MSG	2020-08-11 13:32:15.83.0	516641555	Calibration of this point stopped
MSG	2020-08-11 13:32:15.84.0	516641556	Checking if Q has been pressed
MSG	2020-08-11 13:32:15.101.0	516641531	Trying to draw calibration point
MSG	2020-08-11 13:32:15.115.0	516641545	Calibration point is supposed to be drawn
MSG	2020-08-11 13:32:15.116.0	516641546	Going to wait 500 ms for participant to start looking at the cal point
MSG	2020-08-11 13:32:15.618.0	516643301	Wait finished
MSG	2020-08-11 13:32:15.625.0	516643308	Sending calibration point initiation message
MSG	2020-08-11 13:32:15.648.0	516643331	Going to wait for 750 ms to get response
MSG	2020-08-11 13:32:16.399.0	516644090	Wait finished
MSG	2020-08-11 13:32:16.414.0	516644105	Calibration of this point stopped
MSG	2020-08-11 13:32:16.415.0	516644106	Checking if Q has been pressed
MSG	2020-08-11 13:32:16.432.0	516644103	Trying to draw calibration point
MSG	2020-08-11 13:32:16.446.0	516644117	Calibration point is supposed to be drawn
MSG	2020-08-11 13:32:16.447.0	516644118	Going to wait 500 ms for participant to start looking at the cal point
MSG	2020-08-11 13:32:16.948.0	516644631	Wait finished
MSG	2020-08-11 13:32:16.955.0	516644638	Sending calibration point initiation message
MSG	2020-08-11 13:32:16.977.0	516644660	Going to wait for 750 ms to get response
MSG	2020-08-11 13:32:17.728.0	516645410	Wait finished
MSG	2020-08-11 13:32:17.753.0	516645435	Calibration of this point stopped
MSG	2020-08-11 13:32:17.754.0	516645436	Checking if Q has been pressed
MSG	2020-08-11 13:32:22.715.0	516650413	Clearing existing calibration if there is one
MSG	2020-08-11 13:32:23.723.0	516651413	Sending start calibration
MSG	2020-08-11 13:32:23.736.0	516651426	Iterating through calibration points
MSG	2020-08-11 13:32:23.743.0	516651433	Trying to draw calibration point
MSG	2020-08-11 13:32:23.758.0	516651448	Calibration point is supposed to be drawn
MSG	2020-08-11 13:32:23.759.0	516651449	Going to wait 500 ms for participant to start looking at the cal point
MSG	2020-08-11 13:32:24.260.0	516651930	Wait finished
MSG	2020-08-11 13:32:24.267.0	516651937	Sending calibration point initiation message
MSG	2020-08-11 13:32:24.279.0	516651949	Going to wait for 750 ms to get response
MSG	2020-08-11 13:32:25.31.0	516652698	Wait finished
MSG	2020-08-11 13:32:25.47.0	516652727	Calibration of this point stopped
MSG	2020-08-11 13:32:25.48.0	516652728	Checking if Q has been pressed
MSG	2020-08-11 13:32:25.65.0	516652745	Trying to draw calibration point
MSG	2020-08-11 13:32:25.79.0	516652754	Calibration point is supposed to be drawn
MSG	2020-08-11 13:32:25.80.0	516652755	Going to wait 500 ms for participant to start looking at the cal point
MSG	2020-08-11 13:32:25.580.0	516653273	Wait finished
MSG	2020-08-11 13:32:25.587.0	516653280	Sending calibration point initiation message
MSG	2020-08-11 13:32:25.610.0	516653303	Going to wait for 750 ms to get response
MSG	2020-08-11 13:32:26.360.0	516654055	Wait finished
MSG	2020-08-11 13:32:26.380.0	516654058	Calibration of this point stopped
MSG	2020-08-11 13:32:26.381.0	516654059	Checking if Q has been pressed
MSG	2020-08-11 13:32:26.398.0	516654076	Trying to draw calibration point
MSG	2020-08-11 13:32:26.412.0	516654091	Calibration point is supposed to be drawn
MSG	2020-08-11 13:32:26.413.0	516654092	Going to wait 500 ms for participant to start looking at the cal point
MSG	2020-08-11 13:32:26.914.0	516654620	Wait finished
MSG	2020-08-11 13:32:26.921.0	516654627	Sending calibration point initiation message
MSG	2020-08-11 13:32:26.950.0	516654657	Going to wait for 750 ms to get response
MSG	2020-08-11 13:32:27.701.0	516655385	Wait finished
MSG	2020-08-11 13:32:27.723.0	516655408	Calibration of this point stopped
MSG	2020-08-11 13:32:27.724.0	516655409	Checking if Q has been pressed
MSG	2020-08-11 13:32:27.741.0	516655428	Trying to draw calibration point
MSG	2020-08-11 13:32:27.755.0	516655442	Calibration point is supposed to be drawn
MSG	2020-08-11 13:32:27.756.0	516655443	Going to wait 500 ms for participant to start looking at the cal point
MSG	2020-08-11 13:32:28.257.0	516655935	Wait finished
MSG	2020-08-11 13:32:28.265.0	516655943	Sending calibration point initiation message
MSG	2020-08-11 13:32:28.274.0	516655952	Going to wait for 750 ms to get response
MSG	2020-08-11 13:32:29.25.0	516656694	Wait finished
MSG	2020-08-11 13:32:29.39.0	516656721	Calibration of this point stopped
MSG	2020-08-11 13:32:29.40.0	516656722	Checking if Q has been pressed
MSG	2020-08-11 13:32:29.57.0	516656739	Trying to draw calibration point
MSG	2020-08-11 13:32:29.69.0	516656756	Calibration point is supposed to be drawn
MSG	2020-08-11 13:32:29.70.0	516656757	Going to wait 500 ms for participant to start looking at the cal point
MSG	2020-08-11 13:32:29.571.0	516657244	Wait finished
MSG	2020-08-11 13:32:29.579.0	516657255	Sending calibration point initiation message
MSG	2020-08-11 13:32:29.617.0	516657288	Going to wait for 750 ms to get response
MSG	2020-08-11 13:32:30.369.0	516658047	Wait finished
MSG	2020-08-11 13:32:30.382.0	516658061	Calibration of this point stopped
MSG	2020-08-11 13:32:30.383.0	516658062	Checking if Q has been pressed
MSG	2020-08-11 13:32:30.400.0	516658093	Trying to draw calibration point
MSG	2020-08-11 13:32:30.415.0	516658108	Calibration point is supposed to be drawn
MSG	2020-08-11 13:32:30.416.0	516658109	Going to wait 500 ms for participant to start looking at the cal point
MSG	2020-08-11 13:32:30.917.0	516658594	Wait finished
MSG	2020-08-11 13:32:30.924.0	516658601	Sending calibration point initiation message
MSG	2020-08-11 13:32:30.951.0	516658653	Going to wait for 750 ms to get response
MSG	2020-08-11 13:32:31.701.0	516659389	Wait finished
MSG	2020-08-11 13:32:31.725.0	516659420	Calibration of this point stopped
MSG	2020-08-11 13:32:31.726.0	516659421	Checking if Q has been pressed
MSG	2020-08-11 13:32:31.743.0	516659438	Trying to draw calibration point
MSG	2020-08-11 13:32:31.757.0	516659452	Calibration point is supposed to be drawn
MSG	2020-08-11 13:32:31.758.0	516659448	Going to wait 500 ms for participant to start looking at the cal point
MSG	2020-08-11 13:32:32.259.0	516659959	Wait finished
MSG	2020-08-11 13:32:32.266.0	516659966	Sending calibration point initiation message
MSG	2020-08-11 13:32:32.275.0	516659952	Going to wait for 750 ms to get response
MSG	2020-08-11 13:32:33.26.0	516660715	Wait finished
MSG	2020-08-11 13:32:33.41.0	516660730	Calibration of this point stopped
MSG	2020-08-11 13:32:33.42.0	516660731	Checking if Q has been pressed
MSG	2020-08-11 13:32:44.458.0	516672141	pygaze calibration report start
MSG	2020-08-11 13:32:44.466.0	516672149	accuracy (degrees): LX=0.8707, LY=0.8707, RX=0.668, RY=0.668
MSG	2020-08-11 13:32:44.467.0	516672138	accuracy (in pixels): LX=49.046064428418426, LY=49.046064428418426, RX=37.62689030121739, RY=37.62689030121739
MSG	2020-08-11 13:32:44.468.0	516672138	precision (RMS noise in pixels): X=15.7419, Y=15.7419
